fold,accuracy,f1_macro,precision,recall
1,0.3829787234042553,0.30738335738335737,0.2758547008547009,0.386574074074074
2,0.3617021276595745,0.287962962962963,0.33779761904761907,0.3449074074074074
3,0.3829787234042553,0.3269070254364372,0.4729938271604938,0.3611111111111111
4,0.1276595744680851,0.08585858585858586,0.0608974358974359,0.15476190476190477
5,0.3404255319148936,0.30714159135211766,0.32063492063492066,0.33465608465608465
6,0.1702127659574468,0.15906637645768082,0.16753246753246753,0.16269841269841268
7,0.2978723404255319,0.2883420718714837,0.34421296296296294,0.31547619047619047
8,0.44680851063829785,0.3468485812719559,0.4557897818767384,0.41944444444444445
9,0.1956521739130435,0.1310099573257468,0.11854838709677418,0.2222222222222222
10,0.2391304347826087,0.1873931623931624,0.24629629629629632,0.2916666666666667
